,Words (split by space),anger,disgust,fear,joy,sad,surprise
68,england include giles in wc squad,0.07455127927632857,0.036357794774641565,0.21870665912603532,0.19577106254993557,0.31769724541578015,0.15691595885727888
69,beyonce copyright claim rejected,0.07338288581971304,0.08063589127659955,0.21461369305698302,0.12819735965387355,0.124804464975475,0.3783657052173562
70,london market a shopping dining haven,0.057299366715379094,0.10941913072874036,0.1693265085510185,0.18258771350987352,0.20053384329307708,0.2808334372019114
71,pm havana deal a good experiment,0.08535512559759327,0.1028893159200245,0.12755432155397844,0.28911282359732315,0.1593381196994934,0.2357502936315874
72,dozens killed in baghdad bombing,0.09283613427094645,0.04374041262297446,0.24865539705038797,0.14147894629014382,0.3265224480250789,0.14676666174046843
73,damaged japanese whaling ship may resume hunting off antarctica,0.02500075873971861,0.019001153738970156,0.16861688504006067,0.2874652519583338,0.21456472029115,0.28535123023176656
74,un nuclear watchdog slashes iran aid,0.2048178608312115,0.04942198540561402,0.33081020524561716,0.09265794381427965,0.19824922503453868,0.12404277966873889
75,toyota s scion parks in second life,0.10241811599856433,0.07324441636252241,0.24479013690336646,0.1348586616214964,0.21729809078737547,0.2273905783266749
76,telecoms giant slashes jobs,0.09130723410975335,0.07131502332571843,0.26362097101027576,0.11023710239237068,0.21011506863118934,0.2534046005306922
77,canete wins inaugural joburg open,0.043303619292596185,0.060389520941079154,0.16517179695845458,0.40516712619963585,0.08158747393785683,0.24438046267037716
78,yahoo s mission quest,0.0805264064784634,0.0727444569115785,0.23071051955690966,0.22523566709857956,0.14468309296821155,0.24609985698625725
79,weekly nielsen will lost find its way back,0.07389958742776011,0.03899289937308319,0.15291163351585627,0.2221020224272432,0.22227207668124893,0.28982178057480845
80,u s online love brokers eye china,0.13807916430606648,0.059535141727813184,0.2788098295191844,0.17104154168334817,0.20766257081156356,0.1448717519520242
81,amish schoolhouse torn down,0.10994120563587016,0.07071737297746516,0.2529754846555933,0.07573511733186633,0.2276949546912573,0.26293586470794794
82,china cheney shores up the trilateral alliance,0.09751497982720875,0.07624104155924699,0.19989155360656866,0.22712119947981246,0.09793270762731544,0.3012985178998474
83,g yen skates by yuan singled out,0.1433286246239066,0.10094511479010973,0.2877356072292873,0.060962312712385495,0.19116458160629188,0.21586375903801872
84,friendly fire pilot experienced,0.03670583792823344,0.08537952985135722,0.3896353779739722,0.00019489777640771508,0.17104312206958167,0.31704123440044785
85,updates on world s top stories,0.0003314710393180407,0.00028937108246275686,0.6646957123431383,0.0009782108403390555,0.0004968791254953021,0.3332083555692464
86,diplomat acknowledges us arrogance in iraq,0.2240373013506526,0.0949591776456106,0.2662154557241219,0.06430676462515154,0.29821083904364065,0.05227046161082275
87,madonna s new baby s daddy didn t realize adoption was for good,0.10789552530586863,0.08461675334989635,0.15083721580404208,0.23628560427011072,0.17986947946753018,0.24049542180255226
88,appeal by chinese researcher for times may soon be heard,0.0494379062792153,0.05072620414506149,0.11600945802805511,0.3670104453417844,0.1765059949662574,0.2403099912396266
89,snowbirds shortening their florida stays,0.0769226624998988,0.08150187426033217,0.23258096231041758,0.15832872465205491,0.21635247964321036,0.2343132966340864
90,oxfam action needed for chad,0.09408542701869275,0.05314020663626453,0.1520318523466059,0.30490656637702895,0.17351944407203745,0.22231650354937013
91,bush adamant on troops to iraq,0.20837849801752426,0.12303351308706738,0.24740637515883368,0.09345372399138205,0.25679236894622526,0.0709355207989673
92,ukraine gas deal marred by fears,0.115417376674505,0.07620758689209124,0.23301894755688599,0.1983710276608218,0.1603116191432637,0.216673442072432
93,shoplifters choice police or t shirt of shame,0.08017145795737445,0.09399328772640266,0.19305027126780455,0.23096928817786294,0.15416428715478242,0.2476514077157731
94,travel chaos as heavy snow hits uk,0.04054764626238553,0.029179750439114388,0.2771082382396237,0.16275580211430318,0.2803709542562064,0.21003760868836663
95,tow truck drivers accused of stealing cars,0.05508333813539692,0.08266756536353013,0.12253632085853432,0.2825721268745704,0.21373199387301084,0.24340865489495728
96,joseph wambaugh s new start,0.057517926963607406,0.03910606727596251,0.20825756662112715,0.3203077854261652,0.12848458887901917,0.24632606483411815
97,human error caused helios crash,0.08636175440930036,0.0819604303310057,0.23681116242700928,0.06440540340003023,0.3099474004452177,0.2205138489874369
98,charts is your city lean or lethargic,0.015397866747476402,0.03305090014669033,0.11308151380814568,0.3767794006761808,0.040568605551318644,0.4211217130701881
99,st louis poised for entertainment upswing,0.09236849389262285,0.05330284379814853,0.14448173252149393,0.2969076222956127,0.16898682030973594,0.24395248718238619
100,ivrea journal in italian town a civics lesson from pelting neighbors,0.08085547021280969,0.0765566774334564,0.2963007124148002,0.11893180414139684,0.234062852423107,0.1932924833744295
101,review virtual american idol hits right notes,0.04361556598417729,0.05983926460708639,0.09442624061662193,0.39896819962010927,0.10156010266548868,0.30159062650651597
102,squadron apologies over friendly fire death,0.21403654538147487,0.04513136062523355,0.21643878370377578,0.012160996477736878,0.3341020265709081,0.1781302872408709
103,the breast cancer breakthrough saving women a year,0.06724687362226466,0.08051921380905976,0.16985246303677434,0.3116782691903214,0.0946900958356083,0.2760130845059718
104,abbas rejects temporary state,0.11478378147110813,0.11105992522228283,0.33430509680147336,0.06295994910288043,0.16539888177318376,0.21149236562907153
105,iraqi forces detain official suspected in shia conspiracy,0.12298425912466697,0.06689711989445254,0.25698866910818335,0.08553473843312032,0.27076696678575535,0.19682824665382184
106,congressman rebukes u s allies for lack of support in afghanistan,0.10029623199176384,0.07637212940624832,0.2467054394797112,0.16218497437028476,0.1672093110551932,0.2472319136967988
107,easy ways to really save,0.07838031208863959,0.016133572038037607,0.15415436903266072,0.2924842612311298,0.08464419013590245,0.3742032954736301
108,real suffer carlos injury setback,0.09133462765560267,0.07134124363016806,0.2525444480790559,0.17464335596352223,0.15992597969704736,0.2502103449746038
109,marijuana may stave off alzheimer s,0.063420314487422,0.03624716218334244,0.19083684283139637,0.3336863306598368,0.14964701093556723,0.22616233890243514
110,smokestacks in a white wilderness divide iceland,0.07401343259002802,0.09901072899730086,0.2211892335893939,0.18180657961156044,0.2180355640451569,0.2059444611665602
111,paris journal smoking no longer tres chic in france,0.08965344862496083,0.047764406714265885,0.18473772420673118,0.2390345606474312,0.21645627860578123,0.2223535812008296
112,cher s dress car bed have new owners,0.10753436359928056,0.058600213450756285,0.2167585164892923,0.18260693656777408,0.17032778988763386,0.26417218000526277
113,hungarian opposition calls for vote after violence escalates,0.13872807875013732,0.11214343588905303,0.2078331496399708,0.17497643235006677,0.23286580269327908,0.13345310067749283
114,freed kidnap suspect my terror at police raid,0.1755553831323859,0.10512404329661493,0.3559840303306739,0.11681164603118173,0.14477720311935496,0.10174769408978851
115,rockers big winners at brit awards,0.07374988497075925,0.03966216882814177,0.14015547062229927,0.36264535110806145,0.08251328218330858,0.30127384228742976
116,cia leak trial summary,0.09823201330001563,0.08504746868309454,0.27638337640335436,0.13244486886581755,0.15392246026142467,0.25396981248629324
117,experts issue new heart disease guidelines for women,0.027622450998777713,0.06232386828236838,0.11002927459685459,0.37481554516714,0.09133754188561352,0.33387131906924605
118,in god s name religion based tax breaks housing to paychecks to books,0.10743404768726678,0.05882236628559388,0.16978986304443774,0.24069075076320393,0.13681569759499998,0.2864472746244975
119,snow causes transport chaos in britain,0.060988695639752094,0.03853684059706588,0.25615578904401975,0.1598766106125817,0.2757373203827797,0.20870474372380107
120,injured sarwan to miss one dayers,0.08937068499916165,0.00962180222934037,0.166372943167703,0.3208917676390093,0.09267857661120461,0.3210642253535808
121,study napping might help heart,0.06171237258476653,0.07206926572267235,0.14626943493223418,0.2402071248848454,0.0956939394216597,0.3840478624538216
122,tailors and housewives busy as muslims celebrate eid,0.04859582911694296,0.028096944076707923,0.201814831860641,0.2599258565679608,0.19447287524750595,0.2670936631302412
123,malaysia aggressively wooing tourists,0.09333038344623587,0.0714078137961351,0.2905030589464793,0.10958132358770953,0.1994948913132753,0.23568252891016472
124,creating a whole album in a month,0.07301461619696137,0.0980589721883519,0.200411564670907,0.13265237340063696,0.25672177700694787,0.23914069653619513
125,wellcome awards anti fat research,0.062068746852951266,0.1352787755932722,0.16482496076276779,0.21746552995239213,0.1540039591426114,0.2663580276960053
126,can t do this anymore not jack,0.09179842974022921,0.07664851853505433,0.07888649548929942,0.19479361497331588,0.17592585999240515,0.3819470812696961
127,iran s boast on uranium enrichment is put to test,0.09301271819491572,0.05785163098487164,0.27404018238035294,0.1656790839969546,0.11677203578767271,0.29264434865523214
128,iraq closes borders with syria and iran,0.17684176077846014,0.0752927629544515,0.3376241196281379,0.08189632437158875,0.22894704937175317,0.0993979828956087
129,in clue to addiction brain injury halts smoking,0.06156688389335421,0.009658478658774844,0.19811728441609824,0.2703747690474583,0.16961528992543728,0.29066729405887687
130,manning inspires giants to victory in dallas,0.0869978924267359,0.03640602436942995,0.16027146640800585,0.31337827219885256,0.19617368818240363,0.20677265641457204
131,research supports medicinal marijuana,0.0913186731513469,0.07133101098658616,0.2525041949803304,0.17239059129738857,0.15989878195563828,0.25255674762870983
132,iraq insurgents attack us base,0.22013278615677226,0.09322104746196151,0.27240338591957697,0.07676302420254631,0.2599372046538482,0.07754255160529443
133,fire extinguisher part of tennessee execution kit,0.08566741059102696,0.08809924853347555,0.2031409030202642,0.09042934000817539,0.2897057126659695,0.24295738518108864
134,city sets up ice storm shelters,0.011345798101789295,0.0016848433308367884,0.22944071070712846,0.3625128695363822,0.13946390578311105,0.255551872540752
135,gently weeps lyrics sheet up for sale,0.09367306431331542,0.05477434137077127,0.17046256204536472,0.24380145217466997,0.18184230806911436,0.2554462720267639
136,cholesterol link in diabetes study,0.08915111608403037,0.06154197449012974,0.19832931852319308,0.20925793435161924,0.16633310497854456,0.2753865515724828
137,zoo polar bear to have root canal,0.1023923268573875,0.02550499702807703,0.14903067097586734,0.2659631269162237,0.16231084542218088,0.29479803280026357
138,howard slams obama on iraq policy,0.15800540190657816,0.07960798325592726,0.23793551033130608,0.15318513931506827,0.24977163747967676,0.1214943277114429
139,fight starts over hpv vaccine,0.11992636371183986,0.04110809081188468,0.18672771956571033,0.29789335819360435,0.12453479892670755,0.2298096687902531
140,obama announces presidential bid,0.05030663819003621,0.09406812981000472,0.12755648691845783,0.3252927298250166,0.12083244633854771,0.2819435689179367
141,another death at georgia aquarium,0.10948369400602188,0.03562283843125466,0.16381927026832777,0.12432819494116873,0.31247858921319216,0.25426741314003465
142,johnny depp to make movie of spy poisoning,0.06515607296380123,0.05909165785739267,0.12623553719841224,0.3161550454828615,0.1749884404654935,0.25837324603203865
143,pap test a mainstay against cervical cancer may be fading,0.0894204527183063,0.07524396925121833,0.1840784315099577,0.23556453650997103,0.2066741871190628,0.20901842289148392
144,boy allegedly told to kill by mom gives up,0.12382571928617528,0.06364555486729007,0.18291426392608134,0.21869714723401085,0.19451404722566665,0.21640326746077546
145,catania punished for fan violence,0.07372134361798933,0.07159185157468849,0.1617331504892973,0.31826824219591204,0.19413596299495836,0.18054944912715448
146,the summit a slap in the face of the palestinians,0.061183035188113244,0.09025847333797755,0.18478199695998984,0.21055079704568877,0.16646295840349673,0.2867627390647341
147,dead bachelors in remote china still find wives,0.05951563914105065,0.03236990666861335,0.2525673819180439,0.19214681110558368,0.2845953668730372,0.17880489429367136
148,boy missing since found alive,0.04402114237422443,0.047766467993348,0.2315329589440909,0.15675801501912856,0.18398916599905493,0.3359322496701532
149,girl left comatose after dental visit dies,0.044612446446986614,0.04480384146333613,0.20058812148747165,0.10611948921981985,0.37728245000017957,0.22659365138220602
150,fine wines in british columbia,0.07335705284222617,0.03319861382177192,0.24111751792720384,0.1945720332326453,0.2938259747193736,0.16392880745677949
151,bollywood s brangelina engaged,0.08052093904442323,0.07273820729420634,0.23071470083301632,0.2252554943473284,0.1446693733305796,0.246101285150446
152,north korea ready to discuss nuke disarmament,0.08220308573102512,0.015196658621049401,0.25945938687134656,0.3401001651811652,0.09930356295375901,0.2037371406416547
153,action intensity boosts vision,0.057124861374992675,0.08989102750077635,0.19462843322892406,0.1585127279261765,0.0984399097180059,0.4014030402511244
154,stonehenge workers village found,0.044385763785343584,0.08464898210184665,0.15486457804457524,0.21996879049925072,0.11293332869025947,0.38319855687872434
155,scientists tout cocoa s health benefits,0.08063712352048535,0.042611993190322064,0.27022047929883997,0.20687258284610616,0.1448638775166722,0.25479394362757446
156,can north korea be trusted,0.05759658569893268,0.02618336850127269,0.17553144751964087,0.2826827611579653,0.19126186590431568,0.26674397121787286
157,trailblazing trio protects city by the bay,0.0830659449186605,0.08149668395066467,0.18606084419465693,0.13756017913538918,0.14247679936435667,0.3693395484362722
158,ganguly handed india squad call up,0.07028961872537985,0.05306143013821557,0.15728687840665817,0.3176811223393009,0.09276795483090304,0.3089129955595423
159,beauticians cut curl offer stroke prevention info,0.04582173718710543,0.061430802692444296,0.25747671933813854,0.1776794889108735,0.18231179647298934,0.2752794553984489
160,studios sign off on movie downloads,0.07758805433789624,0.05391321012092829,0.24251811360298775,0.2572034954342099,0.18885880864982763,0.17991831785415036
161,global web of suspects in child rape download,0.1173625986995366,0.15772997085594523,0.18094236939535427,0.10136440549924207,0.23200815072194647,0.21059250482797529
162,libby prosecutors await judge s rulings,0.09351037753777568,0.0777830358001582,0.22560981491328588,0.16817812145691635,0.12579197471636522,0.30912667557549867
163,police probe church fires half mile apart,0.09180911226934113,0.14088302127996646,0.21080873083000606,0.1418792812876986,0.2140431435633971,0.20057671076959058
164,second hanging also went awry iraq tape shows,0.20120514575063922,0.11279204636563013,0.21597759919573198,0.058030869925843075,0.24541395786116252,0.16658038090099284
165,stepping back in time at ski resort,0.08714113967110322,0.04202167143695642,0.23949707311933716,0.24799617703975887,0.1660966883665937,0.21724725036625073
166,iraqi journalists add laws to list of dangers,0.1033732674358291,0.07864300881736438,0.18689461086095593,0.1562649174030162,0.22539742480743197,0.24942677067540237
167,boy scouts blamed for starting wildfire,0.09876516719942492,0.05514353501747982,0.1513809141023175,0.24513641001924893,0.2180019127035253,0.23157206095800334
168,report links humans to global warming,0.1289190612004521,0.02534583380167569,0.16706670875890994,0.2692986789968319,0.18175692185778344,0.22761279538434717
169,stenson defends his title at dubai,0.06848131680189364,0.03237630422434684,0.15601719608355813,0.33731281012470665,0.16065900621846338,0.2451533665470311
170,iraqi linked to sunni bloc is held in plot military says,0.1315782814855061,0.05435782311412466,0.24958501329181285,0.1602840899593099,0.16055414834262569,0.24364064380662065
171,china launches two satellites into orbit,0.0852466854220927,0.09217844463617247,0.13179396465181267,0.24208583346207646,0.10937948782378966,0.3393155840040561
172,north africa feared as staging ground for terror,0.05437519329629531,0.033484781301911584,0.2235914911227609,0.33157878094869925,0.1695524881884105,0.1874172651419226
173,breast cancer drug promises hope,0.06235515710094408,0.0626626103103389,0.22892167506724181,0.201113777799826,0.12383767751051822,0.3211091022111309
174,mortar assault leaves at least dead,0.08311558757506006,0.02998611064976951,0.2411668819246769,0.1292146585969734,0.2778247258075387,0.23869203544598103
175,building a memorial to a son one child at a time,0.08015538114617925,0.08655107400728264,0.21272287436542542,0.1841132029117602,0.18273260932187527,0.2537248582474776
176,northeaster cancels flights shuts schools,0.10219316298677321,0.08162799650700453,0.30460380815734633,0.10975868077300073,0.16490645912693028,0.2369098924489451
177,india to test new nuclear missile,0.06742645563030271,0.01802297580941806,0.16930976408887424,0.3784710952624248,0.0663331596353053,0.3004365495736752
178,dell to cut bonuses trim management,0.10981999325968003,0.008072405373636928,0.16506003039337086,0.3130270197205617,0.1334011232028197,0.27061942804993055
179,uk workers on alert for letter bombs,0.05379750777201324,0.07495578423493747,0.2478952897049092,0.199226217671101,0.1902643109573987,0.2338608896596404
180,storm leaves behind major travel troubles,0.06048059173218743,0.07043514671651847,0.3642543371129164,0.09857409970675476,0.15981090352600608,0.24644492120561726
181,rupert murdoch s secret tivo,0.06691447581996718,0.03612709686314207,0.18564109155989647,0.21488383343925493,0.18318020882431132,0.3132532934934283
182,house passes anti terrorism measure manila,0.07211842337006483,0.07862515764048385,0.2089645784199557,0.2213226260628504,0.17421641135556531,0.24475280315108025
183,genghis khan beer mongolia grimaces,0.09531697643458588,0.07156577845018035,0.2643978907196727,0.14985079078531657,0.17148924177935598,0.2473793218308887
184,youtube founders split m payout,0.053358559673157016,0.09261747642885536,0.15037406621802024,0.1947600176681054,0.16569804772427485,0.34319183228758726
185,former teacher poses for playboy,0.1054899156363297,0.054943830615195935,0.18522463549980334,0.27289298364653675,0.20499956554802648,0.17644906905410768
186,madonna files adoption papers in malawi,0.06440404276278212,0.02909418690384319,0.17638713182320528,0.29212453179024944,0.24156986969239053,0.19642023702752956
187,eye on cosmos is lost to short circuit on hubble,0.04093344057155888,0.038026832329668796,0.25716635493812573,0.23218567658647163,0.14102242686831404,0.2906652687058607
188,all african amputee football games kick off,0.018576710440835035,0.039123421931876075,0.1154061031768221,0.37682852982930143,0.12331183348414554,0.3267534011370197
189,forecasters expect toasty,0.09531697643458588,0.07156577845018035,0.2643978907196726,0.14985079078531655,0.17148924177935598,0.24737932183088868
190,corn stoves popping up in u s homes,0.13791862325808782,0.03363651850970699,0.30316142963096665,0.1673672309406152,0.1586625931079838,0.19925360455263966
191,chvez threatens to jail violators of price controls,0.13727170030420455,0.07952275787237811,0.13180227628069813,0.21428778821354838,0.18225810262412187,0.25485737470504893
192,scientists discover miracle in the depths,0.07448370918166615,0.060393841586796435,0.1494947652834473,0.24629994986350906,0.08699978445912021,0.3823279496254606
193,google unveils do it yourself search engine,0.06284628180957842,0.0594219234074309,0.22124925764633022,0.12913493977632068,0.20613529021520555,0.3212123071451344
194,ready to eat chicken breasts recalled due to suspected listeria,0.11273394074962308,0.023679003975112,0.18433145492624683,0.34105058703163477,0.12915882414686797,0.20904618917051526
195,teen allegedly armed by mom turns self in,0.09469473217150322,0.042983319339705034,0.21653058369229272,0.1908287220961019,0.2798798362754145,0.1750828064249825
196,town packs gym to mourn killed in fire,0.07898789203512366,0.008974527098159301,0.23068142894200072,0.20140640655101313,0.2812449106979551,0.19870483467574823
197,cocoa could be antidote to age related diseases says new study,0.07144278959435671,0.03835149184237945,0.17080020444469862,0.34340081069411815,0.1412190728901574,0.23478563053428933
